comparison,representation,coefficient,delta,paired_standard_error,paired_z,effective_events
G1_H1-G0_H0,dressed_all,B1r,-0.0002307305830876548,0.001038799624298835,-0.222112694008137,25000.000000000062
G1_H1-G0_H0,dressed_all,B1n,0.0005603992210141772,0.0009251809198434275,0.6057185237985843,25000.000000000062
G1_H1-G0_H0,dressed_all,B2k,0.0005854914134451505,0.0010588564089936755,0.5529469420708276,25000.000000000062
G1_H1-G0_H0,dressed_all,B2r,-0.0008665666510420072,0.0010298642937356071,-0.8414377081651472,25000.000000000062
G1_H1-G0_H0,dressed_all,B2n,0.00022016943571066678,0.0009507071758871424,0.23158490994371425,25000.000000000062
G1_H1-G0_H0,dressed_all,Ckk,-0.003987454149117992,0.0025112668521142445,-1.5878257405265155,25000.000000000062
G1_H1-G0_H0,dressed_all,Crr,-0.0006721021840222045,0.0026300265948597692,-0.25554957707872167,25000.000000000062
G1_H1-G0_H0,dressed_all,Cnn,0.000649952732120386,0.0022921969554059044,0.2835501245159327,25000.000000000062
G1_H1-G0_H0,dressed_all,Ckr,0.002173200235205667,0.00255142236205708,0.8517602838024545,25000.000000000062
G1_H1-G0_H0,dressed_all,Crk,-0.0009738816490626098,0.0026095510982368755,-0.37319891904803315,25000.000000000062
G1_H1-G0_H0,dressed_all,Ckn,0.0021094272377759457,0.0023994807536663713,0.879118215285858,25000.000000000062
G1_H1-G0_H0,dressed_all,Cnk,-0.002776418445700275,0.0024414161289800815,-1.1372163936920263,25000.000000000062
G1_H1-G0_H0,dressed_all,Crn,-0.0005269159467576297,0.002336222137018993,-0.22554188593982405,25000.000000000062
G1_H1-G0_H0,dressed_all,Cnr,-0.0026003118161259855,0.002346349397088484,-1.1082372554371638,25000.000000000062
G1_H0-G0_H0,dressed_prompt,B1k,-0.00038761147177387615,0.0010289562320650026,-0.37670355618137646,25000.000000000062
G1_H0-G0_H0,dressed_prompt,B1r,-0.0008086454531382431,0.0010719577148890643,-0.7543632009980252,25000.000000000062
G1_H0-G0_H0,dressed_prompt,B1n,-0.00041656299250367103,0.0009852338723414066,-0.422806202870096,25000.000000000062
G1_H0-G0_H0,dressed_prompt,B2k,0.0010975504653093888,0.0010688569721581972,1.0268450259469746,25000.000000000062
G1_H0-G0_H0,dressed_prompt,B2r,-0.0011842159855599654,0.0010365833936229623,-1.14242230084452,25000.000000000062
G1_H0-G0_H0,dressed_prompt,B2n,0.0004903302696856794,0.0010029004155868684,0.48891222105910903,25000.000000000062
G1_H0-G0_H0,dressed_prompt,Ckk,0.0009211142431278942,0.002543330147245846,0.3621685702602795,25000.000000000062
