contrast,representation,coefficient,effect,standard_error,z,effective_events
gamma_main_effect,dressed_prompt,B1r,9.208545040592401e-05,0.0007252278944512862,0.12697450154698844,25000.000000000062
gamma_main_effect,dressed_prompt,B1n,0.0002580790462594409,0.0006798541846716959,0.3796094104856738,25000.000000000062
gamma_main_effect,dressed_prompt,B2k,0.0010604085461117182,0.0007490322294944609,1.4157048313226954,25000.000000000062
gamma_main_effect,dressed_prompt,B2r,-0.0011394941506435567,0.0007161042451185424,-1.591240602762978,25000.000000000062
gamma_main_effect,dressed_prompt,B2n,0.00039775268148446946,0.0007023771783160284,0.5662949961416659,25000.000000000062
gamma_main_effect,dressed_prompt,Ckk,9.208756604735712e-06,0.0017615509139123921,0.005227641467531091,25000.000000000062
gamma_main_effect,dressed_prompt,Crr,-0.001699835006607479,0.001810145798300209,-0.9390597200533152,25000.000000000062
gamma_main_effect,dressed_prompt,Cnn,0.0012385430871313984,0.0016533237605862192,0.7491231400994612,25000.000000000062
gamma_main_effect,dressed_prompt,Ckr,-0.0001280689291860007,0.0017553952146189223,-0.07295731930874785,25000.000000000062
gamma_main_effect,dressed_prompt,Crk,0.0008179920382649494,0.0018544560751169367,0.44109539678008775,25000.000000000062
gamma_main_effect,dressed_prompt,Ckn,0.0003368198993755164,0.001703965538480978,0.19766825781921557,25000.000000000062
gamma_main_effect,dressed_prompt,Cnk,0.0001791899811272435,0.001780787519396056,0.10062400998183926,25000.000000000062
gamma_main_effect,dressed_prompt,Crn,-0.0025449970844242764,0.0017288241061382355,-1.4720971759869597,25000.000000000062
gamma_main_effect,dressed_prompt,Cnr,-0.0019945027667690393,0.0016641216326965535,-1.198531842613652,25000.000000000062
hadron_qed_main_effect,dressed_prompt,B1k,-0.00042913349229663027,0.0007083958484543362,-0.6057820542468814,25000.000000000062
hadron_qed_main_effect,dressed_prompt,B1r,-0.00033903809973551027,0.000722509056999587,-0.469251003085632,25000.000000000062
hadron_qed_main_effect,dressed_prompt,B1n,0.00029222657378160267,0.0006810695766565619,0.4290700741856242,25000.000000000062
hadron_qed_main_effect,dressed_prompt,B2k,-0.00047920779558114913,0.0007479824474653546,-0.6406671669970508,25000.000000000062
hadron_qed_main_effect,dressed_prompt,B2r,0.00026526927311689645,0.0007201919801910134,0.36833133444021443,25000.000000000062
hadron_qed_main_effect,dressed_prompt,B2n,-0.00018270276194724285,0.0007012002339529422,-0.26055718908887887,25000.000000000062
hadron_qed_main_effect,dressed_prompt,Ckk,-0.003960971332088258,0.0017665942656715282,-2.242151131732894,25000.000000000062
